,episode,URL,start_timestamp,start,end,question,context
0,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,2:07 ,127.0,963.0, Twitter subpoenas the besties! ,
1,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,16:03 ,963.0,2050.0, Markets overview: dead cat bounce or have we hit the bottom? ,
2,Episode 90,https://www.youtube.com/watch?v=jlK5tsUuEP0,34:10 ,2050.0,0.0," De globalization trends, Pelosi's Taiwan visit",
3,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,3:02 ,182.0,1679.0," Where Masa and SoftBank went wrong, why VC isn't scaleable, Vision Fund impact ",
4,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,27:59 ,1679.0,2206.0, Metrics that signify a bubble or the top of a market ,
5,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,36:46 ,2206.0,3045.0, US macroeconomic picture ,
6,Episode 91,https://www.youtube.com/watch?v=TlWgTNGkNe0,50:45 ,3045.0,0.0," FBI raids Mar a Lago, Trump back in news",
7,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,7:19 ,439.0,1532.0, Adam Neumann raises $350M from a16z for his new residential real estate startup Flow ,
8,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,25:32 ,1532.0,2741.0," Housing policy: Bay Area, Houston, Miami differences ",
9,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,45:41 ,2741.0,3669.0," China, Saudi Arabia, Russia increase relations: should the US be worried? ",
10,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,61:09 ,3669.0,5387.0," Inflation Reduction Act signed into law: climate change impact, CBO scorecard, IRS beefed up, carbon tax, big pharma pricing, and more ",
11,Episode 92,https://www.youtube.com/watch?v=nId3Jy5bjrY,89:47 ,5387.0,0.0," Chamath ends his spat with Phil Hellmuth, FBI raid follow up",
12,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,1:25 ,85.0,1328.0, Twitter's former head of security makes allegations against the company ,
13,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,22:08 ,1328.0,2034.0," Foreign countries placing government agents in US tech companies, cloud security vulnerabilities ",
14,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,33:54 ,2034.0,3805.0, Student loan forgiveness ,
15,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,63:25 ,3805.0,4077.0, Red wave or red ripple? ,
16,Episode 93,https://www.youtube.com/watch?v=YRU4eNtL4g4,67:57 ,4077.0,0.0," Science corner: Gut microbiome, fecal transplants",
17,Episode 94,https://www.youtube.com/watch?v=Wc-Leuq0G7o&t=1s,4:16 ,256.0,620.0, NFT trading volume plummets ,
18,Episode 94,https://www.youtube.com/watch?v=Wc-Leuq0G7o&t=1s,10:20 ,620.0,2415.0," California's new fast food wages bill, government creating bad incentives, how the free market response will further the labor issue ",
19,Episode 94,https://www.youtube.com/watch?v=Wc-Leuq0G7o&t=1s,40:15 ,2415.0,3120.0," Zuckerberg on Rogan, FBI interference with the Hunter Biden laptop story ",
20,Episode 94,https://www.youtube.com/watch?v=Wc-Leuq0G7o&t=1s,52:00 ,3120.0,3964.0," Balancing fighting climate change without harming the economy or national security, EU energy policy failure ",
21,Episode 94,https://www.youtube.com/watch?v=Wc-Leuq0G7o&t=1s,66:04 ,3964.0,0.0, Besties reflect on Mikhail Gorbachev's passing,
22,Episode 95,https://www.youtube.com/watch?v=s0tfoW1N3VM,3:34 ,214.0,773.0," Jason reflects on the final Kara Swisher hosted Code Conference, All In media and hit piece requests ",
23,Episode 95,https://www.youtube.com/watch?v=s0tfoW1N3VM,12:53 ,773.0,939.0, Passing of Queen Elizabeth II ,
24,Episode 95,https://www.youtube.com/watch?v=s0tfoW1N3VM,15:39 ,939.0,3183.0," Winter is Coming: Europe's energy crisis, potential fracturing of the Western Alliance, how we got here, endgame, and more ",
25,Episode 95,https://www.youtube.com/watch?v=s0tfoW1N3VM,53:03 ,3183.0,3826.0," Kim Kardashian's new PE firm, content as the dominant distribution channel, what will mega influencers do to legacy brands ",
26,Episode 95,https://www.youtube.com/watch?v=s0tfoW1N3VM,63:46 ,3826.0,0.0, Overprescribing of amphetamines to children,
27,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,0:59 ,59.0,1161.0, Adobe agrees to acquire Figma for $20B ,
28,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,19:21 ,1161.0,2339.0," How Adobe might bundle Figma, regulatory implications ",
29,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,38:59 ,2339.0,2973.0," Analyzing Google's ""one off"" acquisition of YouTube ",
30,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,49:33 ,2973.0,3637.0, Friedberg breaks down the latest TPB SPAC news ,
31,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,60:37 ,3637.0,3907.0," Pfizer sued for Title VI violation, substantial legislation change in 2022 ",
32,Episode 96,https://www.youtube.com/watch?v=_UpczzfeAFA&t=1s,65:07 ,3907.0,0.0," FedEx drops after CEO says we're in a global recession, Russia/Ukraine update, UN chimes in on global famine",
33,Episode 97,https://www.youtube.com/watch?v=bcGwHworAo0&t=4s,1:03 ,63.0,1226.0," SPAC updates, state of the public/private markets ",
34,Episode 97,https://www.youtube.com/watch?v=bcGwHworAo0&t=4s,20:26 ,1226.0,1874.0," US VCs have $290B in dry powder and raised a record amount in H1 2022, is the market nearing a bottom? ",
35,Episode 97,https://www.youtube.com/watch?v=bcGwHworAo0&t=4s,31:14 ,1874.0,3045.0," Risks of backing Putin into a corner, Russia's end game, conditions for conflict ",
36,Episode 97,https://www.youtube.com/watch?v=bcGwHworAo0&t=4s,50:45 ,3045.0,3680.0," Government heavy climate plans, Dilbert/ESG backlash ",
37,Episode 97,https://www.youtube.com/watch?v=bcGwHworAo0&t=4s,61:20 ,3680.0,0.0," Poker plans, chess cheating scandal",
38,Episode 98,https://www.youtube.com/watch?v=fU6QlvruLTw,1:36 ,96.0,1869.0, Big tech starts making cuts and what this means for the broader economy and startups ,
39,Episode 98,https://www.youtube.com/watch?v=fU6QlvruLTw,31:09 ,1869.0,3246.0," Global debt numbers, Fed incompetency ",
40,Episode 98,https://www.youtube.com/watch?v=fU6QlvruLTw,54:06 ,3246.0,3630.0, RIP Coolio ,
41,Episode 98,https://www.youtube.com/watch?v=fU6QlvruLTw,60:30 ,3630.0,0.0, Russia / Ukraine update,
42,Episode 99,https://www.youtube.com/watch?v=0JTcxIVlQfU,1:34 ,94.0,973.0," Breaking down major cheating scandals: chess, poker, fishing",
43,Episode 99,https://www.youtube.com/watch?v=0JTcxIVlQfU,16:13 ,973.0,1805.0, Twitter deal updates,
44,Episode 99,https://www.youtube.com/watch?v=0JTcxIVlQfU,30:05 ,1805.0,2985.0," AI making rapid advancements: Tesla AI Day, Meta's text to video tool, where this all leads",
45,Episode 99,https://www.youtube.com/watch?v=0JTcxIVlQfU,49:45 ,2985.0,3564.0, Biden pardons all prior federal offenses of marijuana possession,
46,Episode 99,https://www.youtube.com/watch?v=0JTcxIVlQfU,59:24 ,3564.0,0.0," SCOTUS will hear cases regarding Section 230, common carrier, algorithmic recommendations",
47,Episode 100,https://www.youtube.com/watch?v=ftNCKO_crGE,6:35 ,395.0,1752.0, Reflecting on the first 100 episodes and what makes the show special,
48,Episode 100,https://www.youtube.com/watch?v=ftNCKO_crGE,29:12 ,1752.0,3223.0," Fan questions: Building in a downturn, how to be successful in tech, importance of uncapped upside, and more",
49,Episode 100,https://www.youtube.com/watch?v=ftNCKO_crGE,53:43 ,3223.0,4497.0," Ukraine/Russia update: Nuclear escalation, when to draw a line in the sand, how inflation could deescalate any WWIII scenario",
50,Episode 100,https://www.youtube.com/watch?v=ftNCKO_crGE,74:57 ,4497.0,0.0," Reacting to Amazon CEO Andy Jassy's comments at an all hands meeting earlier this week, VC firms buying public tech stocks",
51,Episode 101,https://www.youtube.com/watch?v=M5IzFvBQ-Zo,2:02 ,122.0,857.0, Ye's current situation and acquisition of Parler ,
52,Episode 101,https://www.youtube.com/watch?v=M5IzFvBQ-Zo,14:17 ,857.0,1973.0," Snap drops ~30%, corporate misgovernance, super voting shares ",
53,Episode 101,https://www.youtube.com/watch?v=M5IzFvBQ-Zo,32:53 ,1973.0,3938.0," Macro outlook, Stability AI's $101M fundraise, VC fund metrics ",
54,Episode 101,https://www.youtube.com/watch?v=M5IzFvBQ-Zo,65:38 ,3938.0,4898.0, The difficulty of active stock picking and valuing businesses ,
55,Episode 101,https://www.youtube.com/watch?v=M5IzFvBQ-Zo,81:38 ,4898.0,0.0," Lyft vs Gavin Newsom on Prop 30, PSA from Chamath",
56,Episode 102,https://www.youtube.com/watch?v=A-bIpJdaCnM&t=1s,3:13 ,193.0,1879.0," Elon finalizes Twitter deal, immediate content moderation decisions, platform potential ",
57,Episode 102,https://www.youtube.com/watch?v=A-bIpJdaCnM&t=1s,31:19 ,1879.0,3772.0," Meta's historic bet on VR and stock price predicament, governance structure, and more ",
58,Episode 102,https://www.youtube.com/watch?v=A-bIpJdaCnM&t=1s,62:52 ,3772.0,3992.0," Big tech's 2022 decline, macro outlook, market breakdown ",
59,Episode 102,https://www.youtube.com/watch?v=A-bIpJdaCnM&t=1s,66:32 ,3992.0,5249.0," Ukraine update: Progressives call for diplomacy, then flip flop, chip sanctions on China ",
60,Episode 102,https://www.youtube.com/watch?v=A-bIpJdaCnM&t=1s,87:29 ,5249.0,0.0, Science corner: Gut microbiome advancements,
61,Episode 103,https://www.youtube.com/watch?v=Ma6XineLufc&t=1s,1:18 ,78.0,938.0," Bestie updates 9:12 ""Ligma/Johnson"" blunder outside of Twitter HQ ",
62,Episode 103,https://www.youtube.com/watch?v=Ma6XineLufc&t=1s,15:38 ,938.0,2128.0," Surge of tech layoffs at Twitter, Stripe, Lyft, Opendoor, Chime and others; preparing for a longer downturn than originally anticipated ",
63,Episode 103,https://www.youtube.com/watch?v=Ma6XineLufc&t=1s,35:28 ,2128.0,3244.0," Macro trends, big tech freezes hiring, how founders can think about the last 3 years and the next 3 years ",
64,Episode 103,https://www.youtube.com/watch?v=Ma6XineLufc&t=1s,54:04 ,3244.0,4652.0," Midterm election preview, understanding the shift toward populism ",
65,Episode 103,https://www.youtube.com/watch?v=Ma6XineLufc&t=1s,77:32 ,4652.0,0.0, Science corner: Understanding Meta's AlphaFold competitor,
66,Episode 104,https://www.youtube.com/watch?v=Id7cNqwqt1I&t=1s,6:20 ,380.0,1247.0," Election recap: Red wave falls flat, Republican party flips from Trump to DeSantis, a rebuke of extremism ",
67,Episode 104,https://www.youtube.com/watch?v=Id7cNqwqt1I&t=1s,20:47 ,1247.0,2612.0," Coinbase CEO Brian Armstrong joins to break down the FTX collapse, further contagion risk, regulation, and more! ",
68,Episode 104,https://www.youtube.com/watch?v=Id7cNqwqt1I&t=1s,43:32 ,2612.0,3960.0," Red flags exhibited by Sam Bankman Fried and FTX, lack of governance/diligence ",
69,Episode 104,https://www.youtube.com/watch?v=Id7cNqwqt1I&t=1s,66:00 ,3960.0,0.0," Macroeconomic picture, lower than expected CPI print catalyzes market tear, advice for founders",
70,Episode 105,https://www.youtube.com/watch?v=KX7tj3giizI,2:19 ,139.0,1567.0, Trump announces 2024 presidential bid ,
71,Episode 105,https://www.youtube.com/watch?v=KX7tj3giizI,26:07 ,1567.0,3543.0, Each bestie names their most important policy issue ,
72,Episode 105,https://www.youtube.com/watch?v=KX7tj3giizI,59:03 ,3543.0,4643.0," Big tech belt tightening, activist investor calls out Google, professional managerial class culture ",
73,Episode 105,https://www.youtube.com/watch?v=KX7tj3giizI,77:23 ,4643.0,5902.0," SBF's leaked DMs, Elon's culture shift ",
74,Episode 105,https://www.youtube.com/watch?v=KX7tj3giizI,98:22 ,5902.0,0.0," Sacks's big chess victory, Friedberg's public company analysis, and more",
75,Episode 106,https://www.youtube.com/watch?v=4qOEg4LbdTU,1:05 ,65.0,1269.0," Analyzing SBF's media tour: his angle, media coverage, and more ",
76,Episode 106,https://www.youtube.com/watch?v=4qOEg4LbdTU,21:09 ,1269.0,3221.0," FTX culpability: media, investors, regulators ",
77,Episode 106,https://www.youtube.com/watch?v=4qOEg4LbdTU,53:41 ,3221.0,4204.0," Challenging media coverage of other countries, China's current situation, Xi Jinping's standing ",
78,Episode 106,https://www.youtube.com/watch?v=4qOEg4LbdTU,70:04 ,4204.0,5190.0, What OpenAI's new ChatGPT tool means for the future ,
79,Episode 106,https://www.youtube.com/watch?v=4qOEg4LbdTU,86:30 ,5190.0,0.0," David Sacks on the slowdown in SaaS, use case endgame for generative AI",
80,Episode 107,https://www.youtube.com/watch?v=o6HBFo7ft9k,2:17 ,137.0,1989.0, Twitter Files Part 2: shadow banning and blacklisting entire accounts and topics; how content moderation was handled at other tech giants ,
81,Episode 107,https://www.youtube.com/watch?v=o6HBFo7ft9k,33:09 ,1989.0,2850.0, Twitter Files Part 1: Suppressing the New York Post's Hunter Biden laptop story ,
82,Episode 107,https://www.youtube.com/watch?v=o6HBFo7ft9k,47:30 ,2850.0,3507.0," China effectively ends Zero Covid policies; Iran, China, and Japan demographics ",
83,Episode 107,https://www.youtube.com/watch?v=o6HBFo7ft9k,58:27 ,3507.0,0.0," Kevin O'Leary defends FTX on CNBC, was paid $15M as a spokesperson; Sinema flips to Independent",
84,Episode 108,https://www.youtube.com/watch?v=RDdjA4yJy88,1:05 ,65.0,1248.0," Twitter's new privacy rules, notable suspension, doxing dynamics ",
85,Episode 108,https://www.youtube.com/watch?v=RDdjA4yJy88,20:48 ,1248.0,2578.0, Nuclear fusion breakthrough and geopolitical ramifications ,
86,Episode 108,https://www.youtube.com/watch?v=RDdjA4yJy88,42:58 ,2578.0,3071.0, Jason and Sacks's big night ,
87,Episode 108,https://www.youtube.com/watch?v=RDdjA4yJy88,51:11 ,3071.0,4928.0," State of the markets: Coupa acquired by Thoma Bravo, startups at all stages seeing heavy valuation reductions, what LPs are thinking ",
88,Episode 108,https://www.youtube.com/watch?v=RDdjA4yJy88,82:08 ,4928.0,0.0," TV catch up, worst person in tech bracket",
89,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,3:05 ,185.0,252.0, Kicking off the 2022 Bestie Awards ,
90,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,4:12 ,252.0,551.0, Biggest winner in politics ,
91,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,9:11 ,551.0,997.0, Biggest loser in politics ,
92,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,16:37 ,997.0,1415.0, Biggest political surprise ,
93,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,23:35 ,1415.0,1788.0, Biggest winner in business ,
94,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,29:48 ,1788.0,2541.0, Biggest loser in business ,
95,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,42:21 ,2541.0,3076.0, Biggest business surprise ,
96,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,51:16 ,3076.0,3456.0, Best science breakthrough ,
97,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,57:36 ,3456.0,6144.0, Biggest flash in the pan ,
98,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,102:24 ,6144.0,6458.0, Best CEO ,
99,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,107:38 ,6458.0,6681.0, Best investor ,
100,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,111:21 ,6681.0,6742.0, Worst investor ,
101,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,112:22 ,6742.0,6958.0, Best turnaround ,
102,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,115:58 ,6958.0,7197.0, Worst human being ,
103,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,119:57 ,7197.0,7292.0, Most loathsome company ,
104,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,121:32 ,7292.0,7354.0, Best new tech ,
105,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,122:34 ,7354.0,7509.0, Best trend ,
106,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,125:09 ,7509.0,7670.0, Worst trend ,
107,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,127:50 ,7670.0,7826.0, Favorite media ,
108,Episode 109,https://www.youtube.com/watch?v=HE5CTKqWEV0&t=1s,130:26 ,7826.0,0.0, The Rudy Giuliani Award for Self Immolation,
109,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,2:44 ,164.0,1045.0, Prediction 1: 2023's biggest political winner ,
110,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,17:25 ,1045.0,1317.0, Prediction 2: 2023's biggest political loser ,
111,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,21:57 ,1317.0,1834.0, Prediction 3: 2023's biggest business winner ,
112,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,30:34 ,1834.0,2523.0, Prediction 4: 2023's biggest business loser ,
113,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,42:03 ,2523.0,3161.0, Prediction 5: 2023's biggest business deal ,
114,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,52:41 ,3161.0,3783.0, Prediction 6: 2023's most contrarian belief ,
115,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,63:03 ,3783.0,4070.0, Prediction 7: 2023's best performing asset ,
116,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,67:50 ,4070.0,4486.0, Prediction 8: 2023's worst performing asset ,
117,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,74:46 ,4486.0,4900.0, Prediction 9: 2023's most anticipated trend ,
118,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,81:40 ,4900.0,5227.0, Prediction 10: 2023's most anticipated media ,
119,Episode 110,https://www.youtube.com/watch?v=M3UjMit3xGY,87:07 ,5227.0,0.0, OpenAI reportedly in talks to sell existing shares at a ~$29B valuation,
120,Episode 111,https://www.youtube.com/watch?v=kiMTRQXBol0,0:43 ,43.0,678.0, Reacting to Slate's article on All In ,
121,Episode 111,https://www.youtube.com/watch?v=kiMTRQXBol0,11:18 ,678.0,1762.0, SF business owner caught spraying homeless person on camera ,
122,Episode 111,https://www.youtube.com/watch?v=kiMTRQXBol0,29:22 ,1762.0,4197.0," Microsoft to invest $10B into OpenAI with unique terms, generative AI VC hype cycle ",
123,Episode 111,https://www.youtube.com/watch?v=kiMTRQXBol0,69:57 ,4197.0,5236.0," Biden's documents, America's over classification problem ",
124,Episode 111,https://www.youtube.com/watch?v=kiMTRQXBol0,87:16 ,5236.0,0.0, Best cabinet positions/ambassadorships,
125,Episode 112,https://www.youtube.com/watch?v=T7E22zdUDpk&t=1s,6:27 ,387.0,1153.0," Top candidates for the Republican nominee in 2024: DeSantis, Youngkin, Haley; major 2024 issues, balancing the budget ",
126,Episode 112,https://www.youtube.com/watch?v=T7E22zdUDpk&t=1s,19:13 ,1153.0,2391.0," WEF in Davos: is it a grift? Somber mood, globalist mishaps, evaluating the US free trade policy ",
127,Episode 112,https://www.youtube.com/watch?v=T7E22zdUDpk&t=1s,39:51 ,2391.0,3642.0," Rebuilding infrastructure while avoiding the debt ceiling, immigration reform ",
128,Episode 112,https://www.youtube.com/watch?v=T7E22zdUDpk&t=1s,60:42 ,3642.0,4642.0," TikTok's endgame in the US: banned, spun out, or something else? ",
129,Episode 112,https://www.youtube.com/watch?v=T7E22zdUDpk&t=1s,77:22 ,4642.0,0.0," Pharma meets AI, best AI business models",
130,Episode 113,https://www.youtube.com/watch?v=CwQMMzoeH9s&t=1s,2:49 ,169.0,1389.0, DOJ sues Google over ads business ,
131,Episode 113,https://www.youtube.com/watch?v=CwQMMzoeH9s&t=1s,23:09 ,1389.0,2427.0," EU probes Microsoft over Slack complaint based on ""bundling"" Teams ",
132,Episode 113,https://www.youtube.com/watch?v=CwQMMzoeH9s&t=1s,40:27 ,2427.0,4334.0," Pfizer CEO grilled at Davos, analyzing studies questioning vaccine effectiveness ",
133,Episode 113,https://www.youtube.com/watch?v=CwQMMzoeH9s&t=1s,72:14 ,4334.0,4959.0," Ukraine escalation: US to send tanks and warms to Crimea invasion, reconstruction costs, and more ",
134,Episode 113,https://www.youtube.com/watch?v=CwQMMzoeH9s&t=1s,82:39 ,4959.0,0.0, Science Corner: Will we soon be able to reverse aging?,
135,Episode 114,https://www.youtube.com/watch?v=Ymo6Yzjv_KY,1:15 ,75.0,1072.0," Macro picture update: 0.25% raise, jobs rip up, wage growth continues to slow ",
136,Episode 114,https://www.youtube.com/watch?v=Ymo6Yzjv_KY,17:52 ,1072.0,2038.0, Interest rates impact on mega cap company creation ,
137,Episode 114,https://www.youtube.com/watch?v=Ymo6Yzjv_KY,33:58 ,2038.0,3753.0," Mass extinction event coming to startups, reckoning for VCs, venture debt issues ",
138,Episode 114,https://www.youtube.com/watch?v=Ymo6Yzjv_KY,62:33 ,3753.0,3753.0," Adani's potential fraud, role of short sellers",
